"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Jul 14 12:49:10 IST 2023","Fri Jul 14 12:49:21 IST 2023","11067","Tests.HomePage_ContactUs.Contact_Us","test_ContactUs","TestContactUs","","","Test Case 22 - 26 : Contact Form Submission",""
"passed","Fri Jul 14 12:56:29 IST 2023","Fri Jul 14 12:56:45 IST 2023","15913","Tests.Store_Reviews.Store","test_store","TestStore","","","Test Case 5 : Sorting Product Functionality Check ",""
"passed","Fri Jul 14 12:55:53 IST 2023","Fri Jul 14 12:55:58 IST 2023","4783","Tests.Store_Reviews.Store","test_store","TestStore","","","Test Case 3 : Store Redirect To Related Page ",""
"passed","Fri Jul 14 12:50:30 IST 2023","Fri Jul 14 12:50:31 IST 2023","1197","Tests.HomePage_ContactUs.Home","test_homePage","TestHomePage","","","Test Case 12 : Testimonial Testing",""
"passed","Fri Jul 14 12:49:38 IST 2023","Fri Jul 14 12:49:41 IST 2023","2884","Tests.HomePage_ContactUs.Footer","test_Footer","TestFooter","","","Test Case 19 : Privacy Policy Testing ",""
"passed","Fri Jul 14 12:55:50 IST 2023","Fri Jul 14 12:55:53 IST 2023","2957","Tests.Store_Reviews.Store","test_store","TestStore","","","Test Case 2 : Store Dropdown Menu Visibility",""
"passed","Fri Jul 14 12:56:49 IST 2023","Fri Jul 14 12:56:54 IST 2023","5047","Tests.Store_Reviews.Store","test_store","TestStore","","","Test Case 7 : Product Count Updated To Cart Icon Or Not ",""
"passed","Fri Jul 14 12:49:57 IST 2023","Fri Jul 14 12:49:58 IST 2023","680","Tests.HomePage_ContactUs.Home","test_homePage","TestHomePage","","","Test Case 2 : SSL Certificate Testing",""
"failed","Fri Jul 14 12:48:48 IST 2023","Fri Jul 14 12:48:59 IST 2023","11072","Tests.HomePage_ContactUs.Contact_Us","test_ContactUs","TestContactUs","","","Test Case 22 - 26 : Contact Form Submission",""
"failed","Fri Jul 14 12:48:59 IST 2023","Fri Jul 14 12:49:10 IST 2023","11051","Tests.HomePage_ContactUs.Contact_Us","test_ContactUs","TestContactUs","","","Test Case 22 - 26 : Contact Form Submission",""
"passed","Fri Jul 14 12:49:23 IST 2023","Fri Jul 14 12:49:35 IST 2023","12152","Tests.HomePage_ContactUs.Footer","test_Footer","TestFooter","","","Test Case 13 : Footer Element (Recent Posts, Subscribe, Update,Contact Details Visibility Testing)",""
"passed","Fri Jul 14 12:49:58 IST 2023","Fri Jul 14 12:49:59 IST 2023","1376","Tests.HomePage_ContactUs.Home","test_homePage","TestHomePage","","","Test Case 3 : Testing Navbar Links and Icons",""
"passed","Fri Jul 14 12:49:59 IST 2023","Fri Jul 14 12:50:04 IST 2023","5351","Tests.HomePage_ContactUs.Home","test_homePage","TestHomePage","","","Test Case 5 : Slideshow Visibility Testing",""
"passed","Fri Jul 14 12:50:20 IST 2023","Fri Jul 14 12:50:26 IST 2023","5679","Tests.HomePage_ContactUs.Home","test_homePage","TestHomePage","","","Test Case 10 : Training Card Redirecting Testing",""
"passed","Fri Jul 14 12:57:12 IST 2023","Fri Jul 14 12:57:12 IST 2023","103","Tests.Store_Reviews.Store","test_store","TestStore","","","Test Case 11 : Visibility Of Mandatory Fields",""
"passed","Fri Jul 14 12:46:26 IST 2023","Fri Jul 14 12:46:30 IST 2023","4133","Tests.About_Us_Blogs.About_Us","test_AboutUs","TestAboutUs","","","Test Case 6 : Articles and Working Papers Redirecting from About Us Dropdown",""
"passed","Fri Jul 14 12:55:36 IST 2023","Fri Jul 14 12:55:50 IST 2023","13656","Tests.Store_Reviews.Store","test_store","TestStore","","","Test Case 1 : Store Button Visibility",""
"passed","Fri Jul 14 12:50:04 IST 2023","Fri Jul 14 12:50:14 IST 2023","10032","Tests.HomePage_ContactUs.Home","test_homePage","TestHomePage","","","Test Case 6 : Contact Us Visibility Testing",""
"passed","Fri Jul 14 12:57:09 IST 2023","Fri Jul 14 12:57:12 IST 2023","3294","Tests.Store_Reviews.Store","test_store","TestStore","","","Test Case 10 : Visibility Of Checkout Page",""
"passed","Fri Jul 14 12:50:33 IST 2023","Fri Jul 14 12:50:43 IST 2023","9545","Tests.Store_Reviews.Reviews","test_review","TestReview","","","Test Case 14 : Reviews Button Visibility",""
"failed","Fri Jul 14 12:48:26 IST 2023","Fri Jul 14 12:48:37 IST 2023","11065","Tests.HomePage_ContactUs.Contact_Us","test_ContactUs","TestContactUs","","","Test Case 22 - 26 : Contact Form Submission",""
"passed","Fri Jul 14 12:50:31 IST 2023","Fri Jul 14 12:50:32 IST 2023","286","Tests.HomePage_ContactUs.Home","test_homePage","TestHomePage","","","Test Case 1 : Logo Visibility Testing",""
"passed","Fri Jul 14 12:46:30 IST 2023","Fri Jul 14 12:46:34 IST 2023","4283","Tests.About_Us_Blogs.About_Us","test_AboutUs","TestAboutUs","","","Test Case 7 : Interview Redirecting from About Us Dropdown ",""
"passed","Fri Jul 14 12:47:53 IST 2023","Fri Jul 14 12:48:01 IST 2023","8103","Tests.About_Us_Blogs.Blogs","test_Blogs","TestBlogs","","","Test Case 12 : PODCASTS Page Redirecting Status",""
"failed","Fri Jul 14 12:45:49 IST 2023","Fri Jul 14 12:46:11 IST 2023","22512","Tests.About_Us_Blogs.About_Us","test_AboutUs","TestAboutUs","","","Test Case 1 : Welcome Video Page Redirecting and Welcome Video Not Play Automatically",""
"passed","Fri Jul 14 12:50:49 IST 2023","Fri Jul 14 12:50:50 IST 2023","558","Tests.Store_Reviews.Reviews","test_review","TestReview","","","Test Case 17 : All Desises Button Visibility",""
"passed","Fri Jul 14 12:46:21 IST 2023","Fri Jul 14 12:46:26 IST 2023","4588","Tests.About_Us_Blogs.About_Us","test_AboutUs","TestAboutUs","","","Test Case 4 : Research And Expriences Redirecting ",""
"passed","Fri Jul 14 12:55:58 IST 2023","Fri Jul 14 12:56:29 IST 2023","31524","Tests.Store_Reviews.Store","test_store","TestStore","","","Test Case 4 : Store Dropdown Menu Redirect To Related Page ",""
"passed","Fri Jul 14 12:46:17 IST 2023","Fri Jul 14 12:46:21 IST 2023","4145","Tests.About_Us_Blogs.About_Us","test_AboutUs","TestAboutUs","","","Test Case 3 : Interview Redirecting ",""
"passed","Fri Jul 14 12:47:48 IST 2023","Fri Jul 14 12:47:53 IST 2023","4307","Tests.About_Us_Blogs.Blogs","test_Blogs","TestBlogs","","","Test Case 11 : FAQ Page Redirecting Status",""
"passed","Fri Jul 14 12:46:40 IST 2023","Fri Jul 14 12:47:33 IST 2023","53052","Tests.About_Us_Blogs.Blogs","test_Blogs","TestBlogs","","","Test Case 9 : Blog Page Redirecting and Blog Visibility",""
"passed","Fri Jul 14 12:49:46 IST 2023","Fri Jul 14 12:49:57 IST 2023","11164","Tests.HomePage_ContactUs.Home","test_homePage","TestHomePage","","","Test Case 4 : Testing Visibility Of Homepage Banner Image",""
"passed","Fri Jul 14 12:50:49 IST 2023","Fri Jul 14 12:50:49 IST 2023","317","Tests.Store_Reviews.Reviews","test_review","TestReview","","","Test Case 16 : Client Review Visibility In Reviews Page",""
"passed","Fri Jul 14 12:56:54 IST 2023","Fri Jul 14 12:57:09 IST 2023","14217","Tests.Store_Reviews.Store","test_store","TestStore","","","Test Case 9 : Visibility Of Shopping Cart Elements ",""
